Nome,SKU,Categorias (valor bruto exato),Tags (valor bruto),Titulo SEO (valor bruto),Descricao SEO (valor bruto),Marca (valor bruto),MPN (valor bruto),Caracteres de hierarquia encontrados em Categorias
Cola Ardell para Tufo,(vazio),'Extensão de Cílios',(vazio),(vazio),(vazio),(vazio),(vazio),NENHUM
Cola Clione Prime Love 3g | Extensão de Cílios | Alta Retenção,(vazio),'Extensão de Cílios',"'adesivo para cílios, clione prime, clione prime love, cola 3g extensão cílios, cola 8 semanas cílios, cola alta retenção, cola anti sticker cílios, cola anvisa cílios, cola clione love, cola clione prime love, cola coreana cílios, cola coreia extensão cílios, cola fio a fio, cola lash designer, cola para extensão de cílios, cola preta cílios, cola profissional cílios, cola secagem rápida cílios, cola volume russo, material para lash designer'",'Cola Clione Prime Love 3g | Extensão de Cílios Pro',"'Cola Clione Prime Love 3g: secagem em 1s, retenção até 9 semanas e tecnologia coreana. Equilíbrio perfeito de velocidade e controle. ANVISA. Compre já!'",'Clione',(vazio),NENHUM
Cola Macy Nano Tek 3ml Para Extensão De Cílios Volume Russo,(vazio),'Extensão de Cílios',(vazio),(vazio),(vazio),'Macy',(vazio),NENHUM
COLA MACY P+ 3ML,(vazio),'Extensão de Cílios',(vazio),(vazio),(vazio),(vazio),(vazio),NENHUM
Cola Master Elite Diamond transparente- 3ml,(vazio),"'Extensão de Cílios, Colas /  Adesivos'",(vazio),(vazio),(vazio),(vazio),(vazio),/
Cola master elite Esmeralda 3ml,(vazio),'Extensão de Cílios',(vazio),(vazio),(vazio),(vazio),(vazio),NENHUM
COLA SKY GLUE - 5g - Tampa Vermelha,(vazio),'Extensão de Cílios',(vazio),(vazio),(vazio),(vazio),(vazio),NENHUM
Cola Sobelle Glamour 3Ml,(vazio),'Extensão de Cílios',(vazio),(vazio),(vazio),(vazio),(vazio),NENHUM
Cola Sobelle Hero 3ml,(vazio),'Extensão de Cílios',(vazio),(vazio),(vazio),'Hero',(vazio),NENHUM
Cola Sobelle Powerful 3ml,(vazio),'Extensão de Cílios',(vazio),(vazio),(vazio),(vazio),(vazio),NENHUM
Higrômetro Digital Pequeno,(vazio),'Extensão de Cílios',(vazio),(vazio),(vazio),(vazio),(vazio),NENHUM
KIT INICIANTE 2 COMPLETO,(vazio),'Extensão de Cílios',"'como começar extensão de cílios, ferramentas para lash designer, higrômetro cílios, kit cílios com curso online, kit cílios profissional, kit com curso de cílios, kit completo extensão cílios, kit completo lash designer, kit iniciante 2 extensão de cílios, kit iniciante cílios completo, kit lash com curso, kit para começar extensão de cílios, kit para lash designer, material lash designer completo, material para extensão de cílios, pinças para cílios'",'Kit Iniciante 2 Extensão de Cílios | Completo + Curso','Kit Iniciante 2 completo para extensão de cílios: mais de 24 itens profissionais + curso online de brinde. Frete grátis. 12% OFF. Comece agora!',(vazio),(vazio),NENHUM
